V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16
cell_1812	2	0	57	0	0	0	0	0	0	0	2	0	2	2	2	2
cell_678	0	8	0	5	2	0	0	0	2	0	0	0	3	2	2	0
cell_1090	0	2	2	0	3	0	0	0	0	0	0	0	2	2	0	2
cell_622	2	0	0	5	0	2	2	0	0	0	0	3	2	2	0	0
cell_1858	2	3	57	5	2	0	2	0	0	0	0	0	2	2	0	2
cell_1734	0	0	0	0	4	0	2	0	0	2	2	2	2	2	2	0
cell_1393	0	0	2	0	0	0	0	0	2	0	2	2	2	2	0	0
cell_1675	0	0	0	0	0	0	2	2	0	26	0	0	2	2	0	0
cell_1922	2	0	0	0	0	0	0	2	0	2	9	0	2	2	0	5
cell_839	2	0	0	5	2	0	2	0	2	0	0	0	0	6	0	8
cell_1836	2	0	57	0	0	0	0	0	0	2	2	0	2	2	0	2
cell_690	0	0	0	5	0	12	0	0	2	0	0	0	0	2	0	0
cell_428	28	2	0	5	0	2	0	0	2	0	29	2	0	0	0	0
cell_282	28	2	0	5	2	2	0	0	0	0	0	2	0	0	0	2
cell_1790	0	0	0	0	0	0	2	5	0	0	2	0	2	2	0	2
cell_727	0	5	2	5	0	0	0	0	0	0	0	0	0	0	4	0
cell_526	2	0	2	5	0	0	0	0	0	0	0	0	0	2	5	0
cell_1222	0	2	0	0	0	0	5	2	0	5	5	0	2	2	2	0
cell_878	2	0	0	5	0	0	2	0	2	0	0	0	2	6	0	0
cell_2003	2	2	0	0	0	0	3	0	0	0	15	0	2	2	0	0
cell_39	0	2	2	5	2	21	0	2	0	0	0	0	2	2	0	0
cell_511	28	2	2	5	0	2	0	0	2	11	2	0	3	0	0	0
cell_634	0	0	0	5	0	2	2	0	2	0	0	0	0	0	0	2
cell_292	28	2	0	5	0	2	2	0	0	5	2	0	0	0	0	0
cell_329	28	2	0	5	0	2	0	3	2	0	0	0	0	12	4	2
cell_1143	0	0	0	0	0	0	0	0	0	5	0	2	2	2	0	2
cell_771	2	0	0	5	0	5	2	8	2	0	0	0	0	6	0	0
cell_515	2	0	0	5	0	0	5	0	0	0	0	0	0	0	5	0
cell_2009	2	0	0	0	0	0	3	0	0	0	2	0	2	2	2	2
cell_958	2	0	0	5	0	2	2	2	15	0	0	2	0	0	0	0
cell_1104	0	2	0	0	0	0	5	0	0	0	5	0	2	2	0	2
cell_792	2	0	2	5	0	0	2	8	0	0	2	0	0	6	2	0
cell_1917	2	0	57	0	2	0	2	0	0	5	0	0	2	2	0	2
cell_1572	0	0	0	0	2	0	2	0	0	0	0	0	2	2	0	0
cell_423	28	2	2	5	0	2	0	0	2	0	29	0	0	0	0	0
cell_1782	0	0	0	0	0	2	2	0	0	0	2	0	2	2	0	2
cell_1467	2	4	2	0	0	0	0	2	2	0	0	0	2	2	0	0
cell_608	0	5	0	5	0	6	0	3	0	0	5	12	0	0	0	0
cell_1279	0	2	2	0	0	2	5	4	0	2	0	0	2	2	0	0
cell_184	0	2	5	5	0	0	2	0	4	0	0	0	2	0	0	0
cell_1530	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0
cell_698	0	0	0	5	0	12	0	0	2	5	0	0	2	2	3	0
