cellBC	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9
f3_DEW111_bcABSR	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcACAJ	0	0	3	3	3	3	3	3	0	3
f3_DEW111_bcACHN	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcADWC	3	3	4	4	4	4	4	4	0	4
f3_DEW111_bcAENS	4	4	5	5	5	5	5	5	3	5
f3_DEW111_bcAEQZ	0	0	3	0	0	0	0	0	0	6
f3_DEW111_bcAGIM	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcAHGF	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcAJSN	5	5	6	6	6	6	6	6	4	7
f3_DEW111_bcAKMG	0	0	7	7	7	7	7	7	5	8
f3_DEW111_bcANEA	0	0	3	8	8	8	8	8	0	3
f3_DEW111_bcAPXA	6	0	7	9	9	9	9	9	0	9
f3_DEW111_bcASHR	0	0	8	10	10	10	10	10	0	3
f3_DEW111_bcATJL	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcAUSG	5	5	6	6	6	6	6	6	4	7
f3_DEW111_bcAUWT	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcAWYV	0	0	3	11	0	11	11	11	6	3
f3_DEW111_bcBJMB	0	0	9	12	11	12	12	12	0	10
f3_DEW111_bcBLSZ	5	5	6	6	6	6	6	6	4	7
f3_DEW111_bcBNYY	0	0	9	13	12	13	13	13	7	8
f3_DEW111_bcBOBI	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcBSVF	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcBVTQ	5	5	6	6	6	6	6	6	4	7
f3_DEW111_bcBYRD	7	6	10	14	13	14	0	14	0	11
f3_DEW111_bcBZDB	0	0	9	12	11	12	12	12	0	10
f3_DEW111_bcCDRT	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcCDWU	8	0	3	0	0	0	0	15	0	12
f3_DEW111_bcCEAE	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcCEFJ	8	0	3	0	0	0	0	15	0	12
f3_DEW111_bcCEJV	0	0	3	15	14	15	14	16	0	3
f3_DEW111_bcCEWZ	0	0	9	0	0	0	0	0	0	7
f3_DEW111_bcCFCK	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcCFEE	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcCFOK	9	7	8	16	15	16	15	17	8	3
f3_DEW111_bcCHHG	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcCJQG	10	8	11	17	16	17	16	18	9	3
f3_DEW111_bcCMHA	11	0	9	12	11	12	12	12	0	10
f3_DEW111_bcCMIP	0	0	3	15	14	15	14	16	0	3
f3_DEW111_bcCXDR	12	0	9	0	0	0	0	0	0	10
f3_DEW111_bcCZNJ	13	0	9	18	17	18	0	19	0	8
f3_DEW111_bcCZXT	3	3	4	4	4	4	4	20	0	4
f3_DEW111_bcDBLV	0	0	9	0	0	0	0	0	0	7
f3_DEW111_bcDGFN	0	0	3	15	14	15	14	16	0	3
f3_DEW111_bcDJZH	14	0	8	0	18	0	0	0	0	13
f3_DEW111_bcDNOA	15	9	7	19	19	19	17	21	10	14
f3_DEW111_bcDURP	0	0	3	11	0	11	11	11	6	3
f3_DEW111_bcDXEX	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcDZOF	0	0	9	20	20	20	0	22	0	10
f3_DEW111_bcEATD	0	0	7	21	21	21	18	23	0	15
f3_DEW111_bcEBAZ	16	0	12	22	22	22	19	24	0	16
f3_DEW111_bcECCF	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcEDVA	9	7	8	16	15	16	15	17	8	3
f3_DEW111_bcEEPU	0	10	13	23	23	23	20	25	11	3
f3_DEW111_bcEGME	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcEIJQ	9	7	8	16	15	16	15	17	8	3
f3_DEW111_bcETMM	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcEUPU	0	0	3	15	14	15	14	16	0	3
f3_DEW111_bcEXVF	7	0	14	24	24	24	21	26	0	17
f3_DEW111_bcEYOT	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcFESH	17	11	15	25	25	25	22	27	0	18
f3_DEW111_bcFFAJ	13	0	9	18	17	18	0	19	0	8
f3_DEW111_bcFHSI	18	0	8	26	26	26	0	28	0	3
f3_DEW111_bcFISL	14	0	7	27	27	8	8	8	0	19
f3_DEW111_bcFMMW	0	0	3	0	0	0	0	29	0	3
f3_DEW111_bcFNVL	0	0	3	0	0	0	0	0	0	6
f3_DEW111_bcFQNN	0	0	9	0	0	0	0	0	0	7
f3_DEW111_bcFRJD	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcFUJC	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcFZFA	0	0	8	28	28	27	23	30	12	3
f3_DEW111_bcGAWL	0	0	3	11	0	11	11	11	6	3
f3_DEW111_bcGFYX	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcGGMT	0	10	13	23	23	23	20	25	11	3
f3_DEW111_bcGHFR	0	0	3	11	0	11	11	11	6	3
f3_DEW111_bcGIZR	0	0	3	11	0	11	11	11	6	3
f3_DEW111_bcGPWA	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcGTJQ	19	0	8	0	29	28	24	31	0	3
f3_DEW111_bcGXPW	20	0	3	29	30	29	25	32	13	3
f3_DEW111_bcHANI	21	12	16	30	31	30	26	33	14	20
f3_DEW111_bcHAOS	0	13	17	31	32	31	27	34	0	21
f3_DEW111_bcHCML	22	0	8	18	33	32	28	35	15	13
f3_DEW111_bcHFJP	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcHHED	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcHJDJ	0	0	3	11	0	11	11	11	6	3
f3_DEW111_bcHJOM	0	0	3	32	34	33	29	36	16	3
f3_DEW111_bcHLZA	4	4	5	5	5	5	5	5	3	5
f3_DEW111_bcHPIG	13	14	18	33	35	34	30	37	17	8
f3_DEW111_bcHPLQ	13	14	18	33	35	34	30	37	17	8
f3_DEW111_bcHRSH	0	0	3	15	14	15	14	16	0	3
f3_DEW111_bcHRYD	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcHVJS	11	0	9	12	11	12	12	12	0	10
f3_DEW111_bcHWME	11	0	9	12	11	12	12	12	0	10
f3_DEW111_bcIAQO	0	0	3	15	14	15	14	16	0	3
f3_DEW111_bcIDIN	0	0	9	0	0	0	0	0	0	7
f3_DEW111_bcIDQU	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcIDXE	5	5	6	6	6	6	6	6	4	7
f3_DEW111_bcIDXV	5	5	6	6	6	6	6	6	4	7
f3_DEW111_bcIEJY	2	2	2	2	2	2	2	2	2	2
f3_DEW111_bcIIFP	23	15	19	34	36	35	31	38	18	10
f3_DEW112_bcAJWJ	9	7	8	16	15	16	15	17	8	3
f3_DEW112_bcAMQC	24	0	8	20	20	20	0	39	0	13
f3_DEW112_bcAORZ	0	0	3	11	0	11	11	11	6	3
f3_DEW112_bcAPBJ	25	16	9	35	37	36	32	40	19	7
f3_DEW112_bcATSJ	26	17	20	36	38	37	33	41	20	13
f3_DEW112_bcAUSW	27	18	21	37	39	38	34	42	21	22
f3_DEW112_bcAVCC	28	0	3	38	40	39	35	43	22	3
f3_DEW112_bcAWVV	22	0	8	18	33	32	28	35	15	13
f3_DEW112_bcAYFH	23	15	19	34	36	35	31	38	18	10
f3_DEW112_bcAZAE	0	0	9	0	0	0	0	0	0	10
f3_DEW112_bcBBHX	0	19	9	39	41	40	0	44	0	10
f3_DEW112_bcBDMW	0	0	3	11	0	11	11	11	6	3
f3_DEW112_bcBHGA	5	5	6	6	6	6	6	6	4	7
f3_DEW112_bcBHSI	29	0	8	40	42	41	36	45	23	23
f3_DEW112_bcBJMC	2	2	2	2	2	2	2	2	2	2
f3_DEW112_bcBLIT	29	0	8	40	42	41	36	45	23	23
f3_DEW112_bcBOTC	2	2	2	2	2	2	2	2	2	2
f3_DEW112_bcBPCL	13	0	9	18	17	18	0	19	0	8
f3_DEW112_bcBZFJ	30	20	3	41	29	28	24	31	0	3
f3_DEW112_bcCGNY	31	0	8	18	0	8	8	8	0	13
f3_DEW112_bcCLKK	0	21	22	42	43	3	37	46	0	3
f3_DEW112_bcCLPS	2	2	2	2	2	2	2	2	2	2
f3_DEW112_bcCMJH	5	5	6	6	6	6	6	6	4	7
f3_DEW112_bcCUAF	2	2	2	2	2	2	2	2	2	2
f3_DEW112_bcCXMQ	2	2	2	2	2	2	2	2	2	2
f3_DEW112_bcDBKK	5	5	6	6	6	6	6	6	4	7
f3_DEW112_bcDCHQ	0	22	23	43	44	42	38	47	24	7
f3_DEW112_bcDIJE	2	2	2	2	2	2	2	2	2	2
f3_DEW112_bcDLNL	2	2	2	2	2	2	2	2	2	2
f3_DEW112_bcDLYS	2	2	2	2	2	2	2	2	2	2
f3_DEW112_bcDNEK	17	11	15	25	25	25	22	27	0	18
f3_DEW112_bcDSTC	5	5	6	6	6	6	6	6	4	7
f3_DEW112_bcEBKL	0	0	3	15	14	15	14	16	0	3
f3_DEW112_bcEJFU	0	0	12	0	0	0	0	0	0	24
f3_DEW112_bcENRG	23	15	19	34	36	35	31	38	18	10
f3_DEW112_bcETIO	28	0	3	38	40	39	35	43	22	3
f3_DEW112_bcEVNX	24	23	8	44	45	43	39	48	25	13
f3_DEW112_bcFAGK	32	0	8	45	46	0	0	49	0	13
f3_DEW112_bcFDHI	0	0	3	46	47	44	40	50	26	3
f3_DEW112_bcFFIA	33	24	24	47	48	0	41	51	0	14
f3_DEW112_bcFKCV	2	2	2	2	2	2	2	2	2	2
f3_DEW112_bcFLCR	34	25	8	48	49	45	0	52	0	3
f3_DEW112_bcFTYK	35	26	25	49	50	46	42	53	27	3
f3_DEW112_bcFVZF	17	11	15	25	25	25	22	27	0	18
f3_DEW112_bcGCXP	2	2	2	2	2	2	2	2	2	2
f3_DEW112_bcGHKO	0	0	3	46	47	44	40	50	26	3
f3_DEW112_bcGJCS	0	0	12	50	9	9	9	9	0	8
f3_DEW112_bcGOAV	0	0	3	11	0	11	11	11	6	3
f3_DEW112_bcGRQF	2	2	2	2	2	2	2	2	2	2
f3_DEW112_bcHBOE	0	0	3	11	0	11	11	11	6	3
f3_DEW112_bcHBPG	0	10	13	23	18	3	0	54	0	13
f3_DEW112_bcHBSI	2	2	2	2	2	2	2	2	2	2
f3_DEW112_bcHHKD	5	5	6	6	6	6	6	6	4	7
f3_DEW112_bcHHXQ	5	5	6	6	6	6	6	6	4	7
f3_DEW112_bcHJCR	0	0	3	11	0	11	11	11	6	3
f3_DEW112_bcHJPH	5	5	6	6	6	6	6	6	4	7
f3_DEW112_bcHLNB	7	10	13	23	51	47	43	55	28	17
f3_DEW112_bcHTFD	27	18	21	37	39	38	34	42	21	22
f3_DEW112_bcHTQP	24	23	8	51	52	48	0	56	0	13
f3_DEW112_bcHUWQ	0	0	3	0	0	11	11	11	6	3
f3_DEW112_bcHXTF	17	11	15	25	25	25	22	27	0	18
f3_DEW112_bcHYCU	5	5	6	6	6	6	6	6	4	7
f3_DEW112_bcIAGN	2	2	2	2	2	2	2	2	2	2
f3_DEW112_bcIHNI	34	25	8	52	43	49	0	52	0	3
f3_DEW113_bcAAPY	13	0	9	18	17	18	0	19	0	8
f3_DEW113_bcAFOE	36	27	26	53	53	50	0	57	0	3
f3_DEW113_bcALNV	0	28	27	9	0	3	0	58	29	3
f3_DEW113_bcAQFB	0	0	3	8	8	8	8	8	0	3
f3_DEW113_bcAWXM	11	0	9	12	11	12	12	12	0	10
f3_DEW113_bcBEOX	20	29	28	54	54	51	0	29	0	3
f3_DEW113_bcBQOP	37	0	7	0	0	0	0	0	0	14
f3_DEW113_bcBRJI	2	2	2	2	2	2	2	2	2	2
f3_DEW113_bcBWNA	6	0	7	9	9	9	9	9	0	9
f3_DEW113_bcBYSV	0	0	8	0	0	0	0	0	0	13
f3_DEW113_bcCALQ	8	0	8	20	20	20	0	59	30	13
f3_DEW113_bcCANI	13	0	9	18	17	18	0	19	0	8
f3_DEW113_bcCASW	0	0	3	15	14	15	14	16	0	3
f3_DEW113_bcCAVI	0	0	3	15	14	15	14	16	0	3
f3_DEW113_bcCFAJ	29	0	8	40	42	41	36	45	23	23
f3_DEW113_bcCKYK	13	0	9	18	17	18	0	19	0	8
f3_DEW113_bcCMMM	29	29	28	54	54	52	44	60	31	23
f3_DEW113_bcCMTE	2	2	2	2	2	2	2	2	2	2
f3_DEW113_bcCNKP	0	0	3	8	8	8	8	8	0	3
f3_DEW113_bcCOSB	38	30	29	55	55	53	45	61	32	25
f3_DEW113_bcCVBU	39	0	8	56	56	54	46	62	0	13
f3_DEW113_bcCWKZ	0	0	3	11	0	11	11	11	6	3
f3_DEW113_bcDEJQ	2	2	2	2	2	2	2	2	2	2
f3_DEW113_bcDGTI	0	0	12	0	0	0	0	0	0	24
f3_DEW113_bcDHJL	0	0	3	57	57	55	47	63	0	6
f3_DEW113_bcDIRT	0	10	13	23	58	56	48	64	33	3
f3_DEW113_bcDIWY	0	0	9	0	0	0	0	0	0	7
f3_DEW113_bcDLRM	2	2	2	2	2	2	2	2	2	2
f3_DEW113_bcDMVQ	29	0	8	40	42	41	36	45	23	23
f3_DEW113_bcDOTQ	0	0	9	0	0	0	0	0	0	7
f3_DEW113_bcDPLU	5	5	6	6	6	6	6	6	4	7
f3_DEW113_bcEAXU	40	0	8	26	26	26	49	65	0	3
f3_DEW113_bcEKUY	0	0	3	58	59	57	50	66	0	3
f3_DEW113_bcENJI	0	0	8	28	28	27	23	30	12	3
f3_DEW113_bcENJP	5	5	6	6	6	6	6	6	4	7
f3_DEW113_bcEWRT	0	0	9	0	0	0	0	0	0	7
f3_DEW113_bcEXVT	2	2	2	2	2	2	2	2	2	2
f3_DEW113_bcEYDG	0	0	3	11	0	11	11	11	6	3
f3_DEW113_bcEYTM	0	0	3	8	8	8	8	8	0	3
f3_DEW113_bcEZNA	2	2	2	2	2	2	2	2	2	2
f3_DEW113_bcFABV	0	0	3	57	57	55	47	63	0	6
f3_DEW113_bcFCTQ	29	0	8	40	42	41	36	45	23	23
f3_DEW113_bcFEVT	27	18	21	59	60	58	51	67	0	22
f3_DEW113_bcFEZE	2	2	2	2	2	2	2	2	2	2
f3_DEW113_bcFJVN	41	0	30	0	0	0	0	0	0	26
