"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"cell_896","5","2","2","2","5","0","5","5","2","6","45","5","2","2","5","4"
"cell_853","5","2","3","2","5","0","5","5","5","6","2","5","2","2","5","4"
"cell_351","5","4","5","3","2","0","24","0","5","5","2","2","2","2","10","2"
"cell_589","5","2","5","6","5","2","5","5","9","4","2","8","3","2","2","4"
"cell_817","5","2","29","2","2","3","5","5","9","6","3","5","5","2","5","4"
"cell_311","5","3","0","3","2","2","4","6","5","4","2","2","2","3","3","2"
"cell_845","5","2","2","2","5","2","5","5","9","6","22","5","0","2","5","4"
"cell_790","5","2","25","2","0","0","5","5","9","6","0","5","2","2","0","4"
"cell_754","2","2","2","2","2","2","5","5","2","4","4","16","0","2","2","4"
"cell_697","5","2","2","2","2","2","5","5","2","4","4","3","2","2","2","4"
"cell_469","5","2","9","5","2","0","0","5","2","2","2","9","2","2","2","2"
"cell_530","2","2","2","6","2","2","5","5","9","4","0","2","3","2","2","4"
"cell_780","5","2","0","2","0","0","5","5","9","6","2","5","0","2","0","4"
"cell_354","5","4","4","3","2","2","2","2","5","2","2","2","2","2","12","2"
"cell_788","5","2","25","2","0","58","5","5","9","6","0","5","2","2","2","4"
"cell_368","5","4","4","3","2","2","2","2","5","2","2","2","2","2","3","2"
"cell_630","5","2","2","6","2","2","5","5","9","4","2","2","3","2","2","4"
"cell_254","5","2","21","2","2","0","0","2","8","2","2","0","2","69","3","2"
"cell_252","5","2","21","2","2","6","0","2","8","2","2","0","2","69","3","2"
"cell_380","5","4","4","3","2","0","2","2","5","2","2","2","2","2","2","2"
"cell_795","5","2","25","2","2","3","5","5","9","6","36","5","2","2","0","4"
"cell_772","5","2","4","2","0","5","5","5","9","6","2","5","0","2","2","4"
"cell_719","0","2","2","2","2","5","5","5","2","4","4","16","0","2","2","4"
"cell_173","5","2","21","2","2","4","2","2","2","67","2","3","2","69","2","2"
"cell_432","5","2","9","5","2","3","2","3","2","11","2","2","2","0","2","2"
"cell_972","5","2","2","2","2","5","5","5","0","4","2","5","0","2","4","4"
"cell_399","5","2","9","2","2","3","5","3","2","11","2","0","2","0","3","2"
"cell_950","5","2","3","2","2","8","5","5","5","4","2","5","10","3","0","4"
"cell_676","3","2","2","2","2","2","5","5","2","4","4","3","2","2","2","4"
"cell_84","5","2","21","2","2","2","2","14","2","3","2","0","2","5","2","2"
"cell_992","5","2","3","5","2","0","5","5","0","4","2","5","2","2","2","4"
"cell_481","5","2","9","4","2","0","2","0","5","2","2","2","2","0","6","2"
"cell_238","5","2","21","2","2","5","4","2","2","2","2","2","2","69","3","2"
"cell_596","5","2","0","6","8","2","5","5","9","4","2","2","3","2","2","4"
"cell_170","5","2","21","2","2","4","0","0","2","67","2","3","2","69","2","2"
"cell_397","5","2","9","2","2","3","5","3","2","11","2","0","2","3","3","2"
"cell_429","5","2","9","5","2","3","0","3","2","11","2","2","2","0","0","2"
"cell_389","5","2","9","0","2","3","5","3","2","11","2","0","2","4","2","2"
"cell_50","5","5","21","2","2","2","2","14","2","3","2","12","2","5","3","2"
"cell_402","5","2","9","5","2","3","2","3","3","11","2","4","2","0","2","2"
"cell_970","5","2","2","2","2","5","5","5","0","4","2","5","0","2","0","4"
"cell_569","2","2","2","6","0","2","5","5","9","4","0","2","3","2","2","4"
"cell_746","2","2","2","2","0","2","5","5","2","4","4","16","2","2","2","4"
"cell_920","5","2","2","0","2","2","5","5","9","9","2","5","0","0","5","4"
