"","parent","cluster","depth","cellID"
"1",8,3,5,896
"2",8,5,5,853
"3",8,2,7,351
"4",7,8,3,589
"5",8,5,12,817
"6",7,8,2,311
"7",8,1,5,845
"8",7,8,3,790
"9",7,8,0,754
"10",7,8,2,697
"11",8,6,6,469
"12",7,8,3,530
"13",8,1,6,780
"14",7,8,3,354
"15",7,8,3,788
"16",8,1,5,368
"17",8,4,5,630
"18",8,5,5,254
"19",7,8,0,252
"20",8,2,5,380
"21",7,8,3,795
"22",8,1,11,772
"23",7,8,0,719
"24",8,2,4,173
"25",8,4,5,432
"26",8,1,4,972
"27",7,8,2,399
"28",7,8,0,950
"29",8,4,7,676
"30",7,8,0,84
"31",7,8,0,992
"32",8,6,5,481
"33",7,8,2,238
"34",8,1,4,596
"35",7,8,3,170
"36",7,8,0,397
"37",8,5,5,429
"38",8,3,5,389
"39",8,4,5,50
"40",8,2,7,402
"41",7,8,0,970
"42",8,5,4,569
"43",7,8,0,746
"44",7,8,0,920
"45",8,5,8,605
"46",7,8,0,756
"47",7,8,2,624
"48",7,8,2,623
"49",8,5,6,131
"50",7,8,0,547
"51",8,3,5,550
"52",8,5,4,1012
"53",8,4,6,735
"54",8,5,10,598
"55",8,2,7,744
"56",8,5,9,134
"57",7,8,3,211
"58",8,1,5,144
"59",8,5,4,82
"60",8,5,8,185
"61",7,8,0,178
"62",7,8,2,704
"63",7,8,0,97
"64",8,4,5,880
"65",8,1,5,148
"66",7,8,2,193
"67",8,3,9,247
"68",8,6,11,543
"69",8,2,5,902
"70",7,8,3,154
"71",7,8,2,428
"72",7,8,0,888
"73",7,8,3,591
"74",8,6,12,492
"75",8,4,5,266
"76",8,5,4,1021
"77",8,2,8,292
"78",7,8,2,239
"79",7,8,3,717
"80",8,5,5,898
"81",8,5,12,160
"82",8,6,10,478
"83",8,5,12,136
"84",7,8,3,423
"85",7,8,3,152
"86",8,4,6,314
"87",8,4,12,657
"88",8,5,9,1020
"89",8,3,5,437
"90",7,8,3,339
"91",8,6,7,206
"92",8,6,5,172
"93",7,8,3,943
"94",7,8,1,733
"95",7,8,0,912
"96",7,8,2,620
"97",7,8,3,590
"98",7,8,0,225
"99",7,8,0,954
"100",8,6,12,505
"101",8,4,5,60
"102",7,8,3,513
"103",8,5,5,794
"104",7,8,2,558
"105",8,6,12,73
"106",7,8,0,229
"107",7,8,0,914
"108",8,5,5,821
"109",8,6,9,491
"110",8,5,7,715
"111",7,8,0,932
"112",8,4,11,578
"113",8,5,8,1000
"114",8,4,5,267
"115",8,5,4,165
"116",8,3,12,894
