"","parent","cluster","depth","cellID"
"1",8,4,12,896
"2",8,3,12,853
"3",8,2,7,351
"4",7,8,2,589
"5",8,1,12,817
"6",8,2,10,311
"7",8,3,12,845
"8",8,6,12,790
"9",8,5,8,754
"10",8,3,12,697
"11",8,2,12,469
"12",8,1,12,530
"13",8,2,8,780
"14",8,2,10,354
"15",8,6,12,788
"16",8,2,9,368
"17",8,5,9,630
"18",7,8,0,254
"19",7,8,1,252
"20",8,2,9,380
"21",7,8,3,795
"22",7,8,2,772
"23",8,4,8,719
"24",8,1,10,173
"25",8,2,11,432
"26",8,4,12,972
"27",8,2,12,399
"28",8,4,12,950
"29",8,3,12,676
"30",8,1,12,84
"31",8,4,12,992
"32",8,2,12,481
"33",8,1,12,238
"34",8,1,6,596
"35",7,8,3,170
"36",8,2,12,397
"37",8,2,11,429
"38",8,2,12,389
"39",8,5,12,50
"40",8,2,12,402
"41",8,4,12,970
"42",8,2,5,569
"43",8,5,7,746
"44",8,4,11,920
"45",8,3,9,605
"46",8,5,9,756
"47",8,5,12,624
"48",8,5,8,623
"49",8,3,12,131
"50",8,3,4,547
"51",8,2,4,550
"52",8,4,12,1012
"53",8,5,12,735
"54",7,8,2,598
"55",8,5,12,744
"56",8,3,8,134
"57",8,6,4,211
"58",8,3,7,144
"59",8,1,12,82
"60",8,2,12,185
"61",8,2,12,178
"62",8,3,12,704
"63",8,6,5,97
"64",8,5,11,880
"65",8,3,12,148
"66",8,6,12,193
"67",8,4,10,247
"68",8,5,5,543
"69",8,4,12,902
"70",8,3,12,154
"71",8,2,11,428
"72",8,3,10,888
"73",8,5,7,591
"74",8,2,12,492
"75",8,2,10,266
"76",8,4,12,1021
"77",8,2,7,292
"78",8,1,9,239
"79",8,4,10,717
"80",8,4,12,898
"81",8,3,12,160
"82",8,2,12,478
"83",8,3,12,136
"84",8,2,12,423
"85",8,3,12,152
"86",8,2,10,314
"87",8,3,6,657
"88",8,4,12,1020
"89",8,2,12,437
"90",8,2,12,339
"91",8,6,12,206
"92",7,8,3,172
"93",8,4,11,943
"94",8,5,12,733
"95",8,4,12,912
"96",8,5,6,620
"97",8,6,4,590
"98",7,8,1,225
"99",8,4,11,954
"100",8,2,12,505
"101",8,5,12,60
"102",8,3,8,513
"103",8,6,9,794
"104",8,1,12,558
"105",8,5,11,73
"106",8,5,5,229
"107",8,4,9,914
"108",8,1,8,821
"109",8,2,12,491
"110",8,4,11,715
"111",8,4,12,932
"112",8,4,6,578
"113",8,4,12,1000
"114",8,2,6,267
"115",8,1,6,165
"116",8,4,12,894
"117",8,3,8,850
"118",8,4,11,928
"119",8,3,10,685
"120",8,2,10,274
"121",8,2,12,465
"122",8,3,11,518
"123",8,2,12,434
"124",8,2,12,499
"125",8,5,12,57
"126",8,5,10,751
"127",8,4,12,989
"128",8,6,12,127
"129",8,6,12,199
"130",8,3,12,159
"131",8,5,11,625
"132",8,5,10,586
"133",8,4,12,917
"134",8,2,12,504
"135",8,4,12,980
"136",8,4,12,909
"137",8,1,6,553
"138",8,4,12,918
"139",8,3,8,864
"140",8,4,12,985
"141",7,8,2,830
"142",8,1,7,770
"143",8,5,7,612
"144",8,2,6,268
"145",8,5,6,19
"146",8,4,12,967
"147",8,4,12,973
"148",8,2,9,290
"149",8,2,12,69
"150",8,2,12,372
"151",8,4,12,897
"152",8,4,5,805
"153",8,5,12,866
"154",8,4,4,815
"155",8,2,10,574
"156",8,4,12,993
"157",8,4,12,924
"158",8,2,5,298
"159",8,4,9,714
"160",8,4,12,218
"161",8,3,12,519
"162",8,2,12,454
"163",8,1,7,563
"164",8,2,12,337
"165",7,8,3,77
"166",8,4,12,1019
"167",8,2,8,181
"168",8,3,12,520
"169",8,3,12,642
"170",8,1,11,783
"171",8,3,11,608
"172",8,2,12,508
"173",7,8,1,228
"174",8,4,12,1013
"175",8,5,9,762
"176",8,6,4,800
"177",8,4,12,910
"178",8,3,6,552
"179",8,4,12,1018
"180",8,5,8,636
"181",8,4,7,246
"182",8,2,8,294
"183",8,4,12,1006
"184",8,6,7,194
"185",8,3,12,837
"186",8,2,12,438
"187",8,6,12,200
"188",7,8,1,549
"189",8,3,5,603
"190",8,2,12,484
"191",8,2,12,433
"192",8,1,9,233
"193",8,2,12,511
"194",8,3,12,130
"195",8,2,9,350
"196",8,5,11,609
"197",8,3,12,855
"198",8,2,12,379
"199",8,5,8,871
"200",8,2,12,431
"201",8,4,5,936
"202",8,2,12,373
"203",8,4,12,905
"204",8,3,12,690
"205",8,3,9,146
"206",8,3,12,842
"207",7,8,2,769
"208",8,3,11,660
"209",8,5,8,640
"210",8,1,7,93
"211",8,2,4,831
"212",8,3,11,158
"213",7,8,3,171
"214",8,2,12,342
"215",8,2,12,411
"216",8,1,5,560
"217",7,8,3,593
"218",8,4,12,942
"219",8,3,12,846
"220",8,5,9,21
"221",8,5,11,749
"222",7,8,3,100
"223",8,3,10,607
"224",8,5,12,747
"225",8,5,6,565
"226",8,2,7,352
"227",8,1,12,801
"228",8,1,11,168
"229",8,4,12,974
"230",8,3,10,643
"231",8,6,9,210
"232",8,5,11,38
"233",8,1,12,818
"234",8,2,12,303
"235",8,1,7,822
"236",8,5,8,36
"237",8,3,12,667
"238",8,3,10,677
"239",8,4,7,959
"240",8,2,12,498
"241",8,3,8,526
"242",8,4,5,934
"243",8,1,6,725
"244",8,1,11,802
"245",8,4,9,922
"246",8,2,12,289
"247",8,2,6,347
"248",8,2,10,430
"249",8,4,10,925
"250",7,8,1,227
"251",8,3,12,650
"252",8,5,5,76
"253",8,2,5,581
"254",8,4,11,915
"255",8,5,11,28
"256",8,4,8,722
"257",8,4,7,221
"258",8,1,7,556
"259",7,8,2,812
"260",8,2,12,280
"261",8,1,4,240
"262",8,3,12,157
"263",8,2,12,398
"264",8,1,6,562
"265",8,6,11,197
"266",8,2,12,410
"267",8,3,10,678
"268",8,2,12,313
"269",8,2,8,378
"270",8,2,12,387
"271",8,3,12,670
"272",8,4,10,223
"273",8,6,12,196
"274",8,2,12,322
"275",7,8,2,80
"276",8,4,12,963
"277",8,4,4,249
"278",8,3,9,517
"279",8,2,12,576
"280",8,2,12,335
"281",8,5,6,15
"282",8,1,8,237
"283",8,1,6,796
"284",8,4,12,930
"285",8,2,12,395
"286",8,4,9,921
"287",8,2,10,179
"288",8,2,12,328
"289",8,4,12,957
"290",7,8,0,545
"291",8,4,9,721
"292",8,3,12,137
"293",8,3,10,133
"294",8,2,7,312
"295",8,2,6,295
"296",8,6,6,793
"297",8,4,12,1005
"298",8,3,12,702
"299",8,2,12,480
"300",8,2,12,270
"301",8,2,12,408
"302",8,3,12,653
"303",7,8,1,551
"304",8,2,12,494
"305",7,8,3,101
"306",8,1,9,529
"307",8,2,12,442
"308",7,8,0,583
"309",8,2,12,405
"310",8,2,5,582
"311",8,5,8,632
"312",8,5,12,58
"313",8,5,12,34
"314",7,8,3,213
"315",8,3,12,683
"316",8,3,9,885
"317",8,1,10,83
"318",8,2,12,388
