"","parent","cluster","depth","cellID"
"1",7,8,1,1
"2",7,8,3,2
"3",7,8,3,3
"4",7,8,1,4
"5",8,3,8,5
"6",8,3,12,6
"7",8,3,12,7
"8",8,3,12,8
"9",8,6,9,9
"10",8,6,6,10
"11",8,6,12,11
"12",8,6,12,12
"13",8,6,7,13
"14",8,6,7,14
"15",7,8,1,15
"16",8,1,9,16
"17",8,4,12,17
"18",8,4,12,18
"19",8,4,12,19
"20",8,4,12,20
"21",8,4,12,21
"22",8,4,12,22
"23",8,4,12,23
"24",8,4,12,24
"25",8,4,12,25
"26",8,4,12,26
"27",8,4,12,27
"28",8,4,9,28
"29",8,4,9,29
"30",8,4,9,30
"31",8,4,12,31
"32",8,4,12,32
"33",8,6,7,33
"34",8,6,9,34
"35",8,6,12,35
"36",8,6,7,36
"37",8,6,12,37
"38",8,6,12,38
"39",8,6,12,39
"40",8,6,12,40
"41",8,6,12,41
"42",8,6,11,42
"43",8,6,12,43
"44",8,6,12,44
"45",8,6,10,45
"46",8,6,12,46
"47",8,6,11,47
"48",8,6,10,48
"49",8,1,8,49
"50",8,1,12,50
"51",7,8,2,51
"52",7,8,2,52
"53",8,1,12,53
"54",8,1,12,54
"55",8,1,10,55
"56",8,1,10,56
"57",8,5,12,57
"58",8,5,10,58
"59",8,5,9,59
"60",8,5,12,60
"61",8,5,9,61
"62",8,5,12,62
"63",8,5,12,63
"64",8,5,5,64
"65",8,6,12,65
"66",8,6,9,66
"67",8,6,10,67
"68",8,6,12,68
"69",8,6,12,69
"70",8,6,12,70
"71",8,6,12,71
"72",8,6,12,72
"73",8,6,12,73
"74",8,6,12,74
"75",8,6,7,75
"76",8,6,7,76
"77",8,6,12,77
"78",8,6,12,78
"79",8,6,12,79
"80",8,6,12,80
"81",8,6,12,81
"82",8,6,6,82
"83",8,6,12,83
"84",8,6,12,84
"85",8,6,10,85
"86",8,6,5,86
"87",8,6,12,87
"88",8,6,12,88
"89",8,6,12,89
"90",8,6,12,90
"91",8,6,12,91
"92",8,6,12,92
"93",8,6,12,93
"94",8,6,12,94
"95",8,6,12,95
"96",8,6,12,96
"97",8,6,12,97
"98",8,6,12,98
"99",8,6,12,99
"100",8,6,12,100
"101",8,6,12,101
"102",8,6,12,102
"103",8,6,12,103
"104",8,6,12,104
"105",8,6,12,105
"106",8,6,12,106
"107",8,6,12,107
"108",8,6,12,108
"109",8,6,12,109
"110",8,6,12,110
"111",8,6,12,111
"112",8,6,12,112
"113",8,6,12,113
"114",8,6,12,114
"115",8,6,12,115
"116",8,6,12,116
"117",8,6,12,117
"118",8,6,12,118
"119",8,6,12,119
"120",8,6,12,120
"121",8,6,12,121
"122",8,6,12,122
"123",8,6,12,123
"124",8,6,12,124
"125",8,6,12,125
"126",8,6,12,126
"127",8,6,12,127
"128",8,6,12,128
"129",8,6,12,129
"130",8,6,12,130
"131",8,6,12,131
"132",8,6,12,132
"133",8,6,12,133
"134",8,6,12,134
"135",8,6,12,135
"136",8,6,11,136
"137",8,6,12,137
"138",8,6,12,138
"139",8,6,12,139
"140",8,6,12,140
"141",8,6,12,141
"142",8,6,12,142
"143",8,6,12,143
"144",8,6,12,144
"145",8,6,12,145
"146",8,6,12,146
