"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"cell_896","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_853","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_351","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_589","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_817","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_311","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_845","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_790","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_754","4","14","2","5","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_697","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_469","-","-","-","-","-","-","-","-","-","5","-","-","-","-","15","2"
"cell_530","0","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_780","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_354","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_788","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_368","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_630","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_254","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_252","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_380","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_795","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_772","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_719","3","14","2","3","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_173","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","0"
"cell_432","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_972","2","14","2","5","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_399","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_950","2","14","2","12","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_676","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_84","-","-","-","-","-","-","-","-","-","5","-","-","-","-","2","2"
"cell_992","2","14","2","5","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_481","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_238","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_596","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_170","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","3"
"cell_397","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_429","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_389","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
"cell_50","-","-","-","-","-","-","-","-","-","5","-","-","-","-","2","2"
"cell_402","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_970","2","14","2","5","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_569","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_746","5","14","2","5","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_920","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_605","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","0"
"cell_756","4","14","2","5","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_624","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_623","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_131","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","30"
"cell_547","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_550","6","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_1012","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_735","2","14","2","3","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_598","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","14"
"cell_744","5","14","2","5","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_134","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","30"
"cell_211","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_144","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","30"
"cell_82","-","-","-","-","-","-","-","-","-","5","-","-","-","-","2","2"
"cell_185","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","0"
"cell_178","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","2"
"cell_704","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_97","-","-","-","-","-","-","-","-","-","38","-","-","-","-","2","2"
"cell_880","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_148","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","30"
"cell_193","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_247","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_543","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_902","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_154","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","30"
"cell_428","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_888","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_591","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_492","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_266","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_1021","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_292","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_239","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_717","3","14","2","3","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_898","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_160","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","30"
"cell_478","-","-","-","-","-","-","-","-","-","5","-","-","-","-","5","2"
"cell_136","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","30"
"cell_423","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_152","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","30"
"cell_314","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_657","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_1020","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_437","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_339","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_206","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_172","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","3"
"cell_943","2","14","2","12","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_733","2","14","2","3","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_912","2","14","2","0","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_620","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_590","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_225","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_954","2","14","2","12","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_505","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_60","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","2"
"cell_513","0","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_794","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_558","0","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_73","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","2"
"cell_229","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_914","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_821","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_491","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_715","0","14","2","3","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_932","2","14","2","12","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_578","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_1000","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_267","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_165","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","0"
"cell_894","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_850","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_928","2","14","2","5","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_685","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_274","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_465","-","-","-","-","-","-","-","-","-","5","-","-","-","-","3","2"
"cell_518","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_434","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_499","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
